LO_DEBUG: input=6.00000000000002930989 | scaled=600000000000002.87500000000000000000
LO_DEBUG: input=6.00000000000002930989 | scaled=600000000000003.00000000000000000000
LO_DEBUG: input=6.00000000000003019807 | scaled=600000000000003.00000000000000000000
LO_DEBUG: input=6.00000000000003019807 | scaled=600000000000003.00000000000000000000
LO_DEBUG: input=6.00000000000003108624 | scaled=600000000000003.12500000000000000000
LO_DEBUG: input=6.00000000000003108624 | scaled=600000000000003.00000000000000000000
LO_DEBUG: input=6.00000000000003197442 | scaled=600000000000003.25000000000000000000
LO_DEBUG: input=6.00000000000003197442 | scaled=600000000000003.00000000000000000000
LO_DEBUG: input=6.00000000000003286260 | scaled=600000000000003.25000000000000000000
LO_DEBUG: input=6.00000000000003286260 | scaled=600000000000003.00000000000000000000
LO_DEBUG: input=6.00000000000003375078 | scaled=600000000000003.37500000000000000000
LO_DEBUG: input=6.00000000000003375078 | scaled=600000000000003.00000000000000000000
LO_DEBUG: input=6.00000000000003463896 | scaled=600000000000003.50000000000000000000
LO_DEBUG: input=6.00000000000003463896 | scaled=600000000000004.00000000000000000000
LO_DEBUG: input=6.00000000000003552714 | scaled=600000000000003.50000000000000000000
LO_DEBUG: input=6.00000000000003552714 | scaled=600000000000004.00000000000000000000
LO_DEBUG: input=6.00000000000003641532 | scaled=600000000000003.62500000000000000000
LO_DEBUG: input=6.00000000000003641532 | scaled=600000000000004.00000000000000000000
LO_DEBUG: input=6.00000000000003730349 | scaled=600000000000003.75000000000000000000
LO_DEBUG: input=6.00000000000003730349 | scaled=600000000000004.00000000000000000000
LO_DEBUG: input=6.00000000000003819167 | scaled=600000000000003.87500000000000000000
LO_DEBUG: input=6.00000000000003819167 | scaled=600000000000004.00000000000000000000
LO_DEBUG: input=6.00000000000003907985 | scaled=600000000000003.87500000000000000000
LO_DEBUG: input=6.00000000000003907985 | scaled=600000000000004.00000000000000000000
LO_DEBUG: input=6.00000000000003996803 | scaled=600000000000004.00000000000000000000
LO_DEBUG: input=6.00000000000003996803 | scaled=600000000000004.00000000000000000000
LO_DEBUG: input=6.00000000000004085621 | scaled=600000000000004.12500000000000000000
LO_DEBUG: input=6.00000000000004085621 | scaled=600000000000004.00000000000000000000
LO_DEBUG: input=6.00000000000004174439 | scaled=600000000000004.12500000000000000000
LO_DEBUG: input=6.00000000000004174439 | scaled=600000000000004.00000000000000000000
LO_DEBUG: input=6.00000000000004263256 | scaled=600000000000004.25000000000000000000
LO_DEBUG: input=6.00000000000004263256 | scaled=600000000000004.00000000000000000000
LO_DEBUG: input=6.00000000000004352074 | scaled=600000000000004.37500000000000000000
LO_DEBUG: input=6.00000000000004352074 | scaled=600000000000004.00000000000000000000
LO_DEBUG: input=6.00000000000004440892 | scaled=600000000000004.50000000000000000000
LO_DEBUG: input=6.00000000000004440892 | scaled=600000000000005.00000000000000000000
LO_DEBUG: input=6.00000000000004529710 | scaled=600000000000004.50000000000000000000
